Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,Data Scientist,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Design and analyze experiments to verify product hypothesis and direction;
Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;
Keep track of core metrics and attribute metrics changes to root causes;",TikTok,3.7,"Mountain View, CA",501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing.

The Analytics team powers data-informed decision-making at Tinder. We are looking to add a hardworking, creative Data Scientist to our growing team. As a Data Scientist on Analytics, you will partner with multiple teams - including Product, Marketing, Engineering, and Finance - to improve our extraordinary platform. You will use this comprehensive dataset to develop experiments, forecasting models, automated reports, and various exploratory insights to guide our business decisions.

An effective Data Scientist at Tinder must have a passion and aptitude for turning sophisticated problems into concrete hypotheses that can be answered through thorough data analysis and A/B testing. They must also be able to disseminate their takeaways and recommendations to a variety of partners within our organization via presentations, reports, and dashboards. In this role, your insights will influence both the performance of our business and the experience of our users.",Tinder,3.7,"Los Angeles, CA",201 to 500 Employees,2012,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$53 - $82 Per Hour,Data Scientist,"JD
Location : Redmond, WA
Title : Data Scientist with Time Series Experience
Data Scientist – Mid level (Support Insights and/or Production Systems)
The ideal candidate is adept at using small, medium, and large sets of data to find opportunities for product and process optimization, and in using statistical tests and models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining and statistical analysis methods, defining models, and implementing both proof of concept and production statistical/analytical pipelines, using/creating algorithms, and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be highly collaborative and comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in small and medium data sets and working with stakeholders to improve business outcomes.",Identical Soft,-1,"Redmond, WA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$26 Per Hour,Data Scientist,"Responsibilities:
Provides expertise on computational, quantitative, and algorithmic techniques applicable to data science
Performs data wrangling, ETL, and data exploration tasks
Builds predictive and prescriptive models, algorithms, and simulations
Identifies and champion new initiatives aimed at delivering value to business stakeholders
Manages multiple work streams while proactively responding to competing demands
Evaluates open-source and vendor-based tools, such as applications, platforms, frameworks, and programming languages.",Vastek Inc.,4.8,"Dallas, TX",51 to 200 Employees,-1,Contract,-1,-1,$1 to $5 million (USD)
Data Scientist,-1,Data Scientist,"Organization and Job ID
Job ID: 312391
Directorate: Physical & Computational Sciences
Division: Advanced Computing, Mathematics & Data
Group: Data Sciences & Machine Intelligence
Job Description
The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the group to lead and support scientific research in the broad areas of data science, machine intelligence, and autonomous learning and reasoning. This is an excellent opportunity to hone and develop your scientific career in an outstanding research institution by joining an interdisciplinary research team that focuses on accelerating scientific discovery. The primary emphasis of this position will be growing existing and adding new capabilities in the areas of Optimization, Machine Learning and Artificial Intelligence and help strengthen the group’s leadership in the emerging data science and machine intelligence fields. A successful candidate should have shown expertise in one or more of the following technical areas: optimization and optimization-based decision making, artificial intelligence and machine learning, and data analytics applied to modeling, diagnostics and control of cyber-physical systems, uncertainty quantification, system identification and model reduction, dynamical systems modeling and simulation, model predictive control, reinforcement learning algorithms, autonomous control and decision systems, and multi-agent systems.",Pacific Northwest National Laboratory,4.1,"Richland, WA",1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
"Data Scientist, Analytics-Remote Presence",-1,Data Scientist,"Messenger remote presence infra team powers audio and video calling for millions of users. This is a real time calling infrastructure for Messenger, Instagram, Workchat and Portal. We are looking for Data Scientists with deep knowledge in infrastructure systems to join us.Some of the key questions you will be working on: Systematic understanding of media stack of infrastructure with data, quantify media quality and explore how media quality affect user engagement; improving networking stack and working on cutting edge technology to make remote experience more real time and fun. With this role, you can learn a lot of skills to make you an awesome DS: dive deep into tech stack of infra, experimentation (A/B testing), operational support. There is a good balance between diving deep on technical side as well as influencing engineering leaders on this role - data scientists are the key partner to deliver insights and uncover opportunities and drive engineering roadmap on the team. Team is based in Bellevue.
Build long term product vision and strategy and scope out the area for the team
#LI-REMOTE",Facebook,4.3,Remote,10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$58 - $63 Per Hour,Data Scientist,"Data Scientist
12months- Irving TX(Remote for now)
provides their expertise to a team of data engineers, data scientists, and ml engineers to help develop, design, and implement data-driven services to improve Client’s eCommerce platform.
To accomplish this, the position will require extensive knowledge of data analytics and modeling to ensure that best practices are used when developing these initiatives.
Due to the variety of areas this team will execute within, the Data Scientist may need to research approaches/concepts and translate that information into a valid solution.
ESSENTIAL JOB DUTIES AND RESPONSIBILITIES*",veritis group inc,-1,"Irving, TX",-1,-1,-1,-1,-1,-1
Machine Learning Data Scientist,-1,Data Scientist,"We are looking for a Machine Learning Data Scientist to join our Data Science team on a 6 month contract. We are looking for someone passionate about data science and its applications to create business value. You enjoy working with cutting edge technology, and you relish the opportunity to make an impact to the way millions of users use our products in their day-to-day work. You are able to work effectively with a variety of other disciplines across the company.

Responsibilities:
Employ behavioral data, insights and ML/AI algorithms to model the lifetime value of our customers, incorporating churn, growth, cross-sell and new product launches
Work with our seriously large volume of analytics data to understand insightful trends and behaviors",FocusKPI Inc.,3.3,"Mountain View, CA",51 to 200 Employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD)
Data Scientist,Employer Provided Salary:$79K - $181K,Data Scientist,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",Trisync Technologies Inc.,-1,Remote,-1,-1,-1,-1,-1,-1
Data Scientist/Data Analysis,Employer Provided Salary:$137K - $214K,Data Scientist,"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.",Specific Diagnostics,3.5,"Mountain View, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Mathematical Statistician (Data Scientist) or Statistician (Data Scientist),Employer Provided Salary:$109K - $173K,Data Scientist,"Duties
Summary
Click on """" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov

Responsibilities",US Internal Revenue Service,3.7,"Charlotte Amalie, VI",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$79K - $181K,Data Scientist,"Avant is dedicated to building premier digital banking solutions for the middle class through a combination of technology, analytics, and superior customer service. Since 2012, Avant has connected over 1.5 million customers to over $7.5 billion in loans and 500,000 credit cards. A high growth financial technology company, Avant has been featured in The Wall Street Journal, The New York Times, TechCrunch, Fortune, Bloomberg, and has raised over $600 million of equity capital. Visit www.avant.com for more information.
We are looking for a highly energetic Data Scientist to join our Marketing Team as we grow Avant’s digital banking business, loan, credit card, and more. The right candidate possesses a passion for driving Marketing initiatives using analytical techniques and thrives in the complex environment of experimentation design, marketing optimization, and ROI. This position will report to the Head of Marketing Analytics and work with cross-functional teams consisting of Product, Risk, Operations, and Compliance. Do you want to help a rapidly ascending FinTech company drive its next phase of growth? If so, Avant is looking for you.",Avant,3.6,Remote,501 to 1000 Employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist -- Full-time,Employer Provided Salary:$120K,Data Scientist,"Data Scientist -- Full-time
About Us
Denali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.
Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!","Denali System Co., Ltd",3.0,"Mountain View, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist - Geospatial & Agriculture Analytics,Employer Provided Salary:$126K - $142K,Data Scientist,"Qualifications
Master’s degree in a quantitative and/or agriculture-related discipline, such as: crop science/agronomy, animal sciences, geography/GIS, computer science, ecology, mathematics/statistics, meteorology, environmental sciences, engineering, econometrics
1+ years of relevant professional experience preferred
Strong analytical and problem-solving skills, paired with the ability to develop creative and efficient solutions
Clean, efficient coding abilities, in Python and/or R, ideally with experience parallel processing and using cloud computing resources
Strong multitasking and parallel development abilities",McKinsey & Company,4.4,"Denver, CO",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
(Junior/Senior) Data Scientist - Sports Analytics,Employer Provided Salary:$75K - $150K,Data Scientist,"We are seeking data scientists with a passion for sports to design and develop the quantitative models that power our world-class sports intelligence platforms in baseball, basketball, cricket, football (American), hockey, soccer, and tennis. Through your work, you can support the professional teams in our exclusive partner network in their efforts to compete and win championships. We currently have both entry-level and senior positions available, allowing us to consider qualified candidates with a wide range of experience levels.
Zelus Analytics (https://zelusanalytics.com) unites a fast-growing startup environment with a research-focused culture that embraces our core values of integrity, innovation, and inclusion. We pride ourselves on providing meaningful mentorship that offers our team the opportunity to develop and expand their skill sets while also engaging with the broader analytics community. In so doing, we hope to create a new path for a broader group of highly talented people to push the cutting edge of sports analytics.",Zelus Analytics,-1,Remote,-1,-1,-1,-1,-1,-1
Data Scientist/Data Designer,Employer Provided Salary:$58 - $96 Per Hour,Data Scientist,"*Team sits in NYC so local candidates preferred, but FULLY REMOTE is acceptable for qualified candidates. Must be able to work on EST hours and be available for early meetings.*
Required Qualifications
Bachelor's Degree in Data Science, Computer Science, Applied Math, Operation Research, Statistics, Engineering (Civil, Chemical, Financial etc.) or other related field with minimum of 3 years of professional experience; Master's Degree with a minimum of 2 years of experience; or PhD with fellowship experience in the areas below
Responsibilities:
Leading project management activities, including communications within project teams, stakeholder management, and leadership updates",Eden Technologies,3.4,Remote,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Data Scientist,-1,Data Scientist,"About the Job
Join a growing start-up and make an impact beginning day one. We’re looking for individuals who get excited about making the connection between data and how it operates in the real business world
This isn’t your average Data Scientist role that focuses on cleaning data – you’ll be working closely with other DeepHow departments to determine how metrics can support their operations
You’ll run complex mathematical analyses to determine the efficacy of metrics and to develop and present creative strategies
This position is a hybrid role in that the ideal candidate will understand both technical and mathematical concepts, as well as recognize how they relate to business needs across various departments",DeepHow,-1,Remote,-1,-1,-1,-1,-1,-1
Senior Data Scientist,Employer Provided Salary:$72 - $77 Per Hour,Data Scientist,"Data Scientist – Mid level (Support Insights and/or Production Systems)
The ideal candidate is adept at using small, medium, and large sets of data to find opportunities for product and process optimization, and in using statistical tests and models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining and statistical analysis methods, defining models, and implementing both proof of concept and production statistical/analytical pipelines, using/creating algorithms, and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be highly collaborative and comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in small and medium data sets and working with stakeholders to improve business outcomes.
· Provide consultation and oversight in the optimization and improvement of product development, marketing techniques and business strategies by proposing and defining solutions and implementation roadmaps for statistical pipelines, including data collection, model specification, algorithm configuration, system configuration and tuning requirements, fitting, forecasting, prediction, and reporting components that address customer business problems.",Fisec Gobal,3.8,"Redmond, WA",1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for a Data Scientist capable of using machine learning and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Machine Learning techniques, would love to work with vehicle telemetry data and video, are deeply technical, highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
Responsibilities:
Use statistical and machine learning techniques to create scalable solutions for vehicle telemetry data and video analysis, and assist in performing R&D to drive discovery of new generation mobility products",Toyota Connected North America,3.4,"Plano, TX",51 to 200 Employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$48 - $58 Per Hour,Data Scientist,"Job Post: Data Scientist II
Number of Positions: 2
Duration: 06 Months
Location: Works From Home/Colorado
Description:
Some of the characteristics the manager is looking for in a contractor for this role are:
Knowledge and experience in building and analyzing linear regression, logistic regression, generalized linear models, and time-series models",Tech True Up,-1,Remote,-1,-1,-1,-1,-1,-1
Mathematical Scientist,Employer Provided Salary:$150K,Research Scientist,"Pit.AI Technologies is taking on one of the most exciting challenges of our time, namely solving intelligence, in one of the most competitive industries ever, investment management!
The team enjoys the duality of solving humongous research and engineering problems, while remaining focused on very concrete shorter-term breakthroughs. We believe in excellence, humility, trust and inclusion, and every team member has a veto power on who we hire.
We adopt a finance-first approach to machine learning research, and we do not indulge in blindly applying solutions to machine learning problems in other domains to finance. Core to our research philosophy is the need to place as little assumptions on how the world behaves as possible, but rather let the data speak for itself, and use mathematical rigor to understand what the data is truly saying.
We are backed by Y Combinator, legendary Renaissance Technologies and First Round Capital co-founder Howard Morgan, and prominent tech VCs David Lee & Zal Bilimoria, to name but a few.",Pit.AI Technologies Inc.,-1,"San Jose, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"This role works within the organization and within our software to determine the questions that need answers, and then identifies new and novel solutions to solve the problem. The Data Scientist is responsible for applying data mining techniques, performing statistical analysis, and building high quality prediction systems that integrate into Measurabl’s products.

Essential Functions & Responsibilities

The essential functions and responsibilities for this position include, but are not limited to, the following. Other duties may be assigned as needed.",Measurabl,4.5,"San Diego, CA",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist - Intermediate,-1,Data Scientist,"Position Overview:
The Soybean Crop Modeling Team at Climate is seeking a highly motivated data scientist to query, wrangle, and summarize data from multiple sources. The candidate will also evaluate and apply advanced statistical, machine learning and deep learning methods to develop predictive agronomic models for soy crop systems.

What You Will Do:
Explore, query, munge, and model large and diverse datasets
Evaluate data quality and discover data limitations
Design and prototype models using diverse techniques that include, but are not limited to, statistical modeling, machine learning, deep learning, AI",Bayer,4.1,"San Francisco, CA",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Payment Data Scientist,-1,Data Scientist,"Albertsons Companies is one of the largest food and drug retailers with 2,300+ stores. The Albertsons Companies family of brands includes some of the most prominent brands in food retailing, with a growing base of loyal shoppers. Thanks to the professionalism, diversity, spirit, and friendliness of our people, we have locations across the U.S.

The Technology Department has an opening for a Payment Data Scientist. This position is located in Pleasanton, California.

The Payments team is newly formed and will oversee the strategic and operational infrastructure required to support a consumer-focused brand, in both a physical and digital world. In this role, you'll be joining a Data Science team under Payments focusing on driving the future vision of payments technology and building world class products. The ideal candidate will be a self-starter, who has an eye for detail, is extremely thorough, and works well with ambiguity. Additionally, proficiency with SQL and data analytics is required.",Albertsons Companies,3.4,"Pleasanton, CA",10000+ Employees,1939,Company - Public,Grocery Stores & Supermarkets,Retail,$10+ billion (USD)
Data Scientist,-1,Data Scientist,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: We are hiring for a Data Scientist - someone who will build data products to improve our operational efficiency and enable data-driven capacity planning.",PayPal,4.1,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$24 - $29 Per Hour,Data Scientist,"Data Scientist for Halo Solutions
Job Title: Data Scientist
Location: Remote
Terms: Part time, Contract basis
Company Description:
Our central goal at Halo Solutions is helping healthcare organizations use their data more effectively.
Our primary focus right now is preventing missed cancer diagnoses using artificial intelligence. In order to do this, we work closely with data scientists, software engineers, physicians, and hospital administrators, all of whom share a common vision for improving patient health.",Halo Solutions,-1,Remote,-1,-1,-1,-1,-1,-1
Avail - Staff Data Scientist (Remote Home Based Worker),Employer Provided Salary:$113K - $197K,Data Scientist,"Avail is a car sharing service to help people get where they want to go–whether that’s to run errands, take an unforgettable road trip, or explore a new city–while helping locals earn cash from their unused cars. We are passionate about making shared transportation safe, simple, and affordable, and redefining what it means to own a car.

We’ve assembled some of the sharpest folks from across industries to compete against the antiquated system of traditional car rental. We put ideas into action and learn along the way in an open, collaborative work environment. As a part of Avail, you’ll make a direct impact and help build a business from the ground up. No matter where you’ve been, we’re always looking for fresh thinking and new perspectives.
Job Summary",Allstate,3.5,"Northbrook, IL",10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
